occ_year,occ_month,difference,location,bicycle_status
2014,5,0,Commercial,STOLEN
2014,5,0,Educational,STOLEN
2014,5,2,Outside,STOLEN
2014,5,0,Apartment,STOLEN
2014,5,1,House,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,1,House,STOLEN
2014,5,1,Commercial,STOLEN
2014,5,2,Outside,STOLEN
2014,5,0,House,STOLEN
2014,4,43,Other,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,3,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,3,Outside,STOLEN
2014,5,0,Apartment,STOLEN
2014,5,12,House,STOLEN
2014,5,2,Outside,STOLEN
2014,5,1,House,STOLEN
2014,5,23,Other,STOLEN
2014,5,1,Other,STOLEN
2014,5,2,Outside,STOLEN
2014,5,1,Commercial,STOLEN
2014,5,6,Apartment,RECOVERED
2014,5,0,Educational,STOLEN
2014,5,4,House,STOLEN
2014,5,3,Outside,STOLEN
2014,5,2,Educational,STOLEN
2014,5,2,House,STOLEN
2014,5,2,Commercial,STOLEN
2014,5,4,Other,STOLEN
2014,5,2,Educational,STOLEN
2014,5,9,Apartment,STOLEN
2014,5,2,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,0,Other,STOLEN
2014,5,0,House,RECOVERED
2014,5,5,Outside,STOLEN
2014,5,0,House,RECOVERED
2014,5,0,Other,STOLEN
2014,5,4,House,STOLEN
2014,5,9,Outside,STOLEN
2014,5,1,Educational,STOLEN
2014,5,1,Outside,STOLEN
2014,5,0,Outside,STOLEN
2014,5,6,Outside,STOLEN
2014,5,4,House,STOLEN
2014,5,11,Apartment,STOLEN
2014,5,1,Educational,STOLEN
2014,5,1,Other,STOLEN
2014,5,4,House,STOLEN
2014,5,4,House,STOLEN
2014,5,4,Outside,STOLEN
2014,5,3,Educational,STOLEN
2014,6,0,Outside,UNKNOWN
2014,6,0,Educational,STOLEN
2014,6,0,Outside,STOLEN
2014,5,3,House,STOLEN
2014,5,1,Outside,STOLEN
2014,5,1,Apartment,STOLEN
2014,5,2,Transit,STOLEN
2014,6,0,Other,STOLEN
2014,6,0,Apartment,STOLEN
2014,5,1,House,STOLEN
2014,6,0,Outside,STOLEN
2014,5,3,Outside,STOLEN
2014,5,1,Outside,STOLEN
2014,5,8,Apartment,STOLEN
2014,5,1,House,STOLEN
2014,5,3,Other,STOLEN
2014,5,3,Other,STOLEN
2014,5,3,House,STOLEN
2014,5,5,Outside,STOLEN
2014,6,1,House,STOLEN
2014,5,6,Outside,STOLEN
2014,5,4,Outside,STOLEN
2014,6,0,Outside,STOLEN
2014,6,0,Other,STOLEN
2014,6,1,Outside,STOLEN
